params,nfilters,loss,optim,model,val_loss,val_acc
1840074.0,256,MSE ntargets10,SGD (Parameter Group 0    dampening: 0    lr: 0.001    momentum: 0    nesterov: False    weight_decay: 0),"CNN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d(1, 256, kernel_size=(28, 28), stride=(28, 28))    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=25600, out_features=64, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=64, out_features=10, bias=True)  ))",0.014688380993902683,0.9072452187538147
20087754.0,256,MSE ntargets10,SGD (Parameter Group 0    dampening: 0    lr: 0.001    momentum: 0    nesterov: False    weight_decay: 0),"FCN(  (activation): ReLU(inplace=True)  (main_blocks): Sequential(    (0): Linear(in_features=78400, out_features=256, bias=True)    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=256, out_features=64, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=64, out_features=10, bias=True)  ))",0.010518592782318592,0.9345143437385559
21735114.0,256,MSE ntargets10,SGD (Parameter Group 0    dampening: 0    lr: 0.001    momentum: 0    nesterov: False    weight_decay: 0),"LCN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d_Local()    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=25600, out_features=64, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=64, out_features=10, bias=True)  ))",0.02645018883049488,0.818670392036438
1840074.0,256,MSE ntargets10,Adadelta (Parameter Group 0    eps: 1e-06    lr: 0.01    rho: 0.9    weight_decay: 0),"CNN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d(1, 256, kernel_size=(28, 28), stride=(28, 28))    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=25600, out_features=64, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=64, out_features=10, bias=True)  ))",0.06525077670812607,0.5087579488754272
20087754.0,256,MSE ntargets10,Adadelta (Parameter Group 0    eps: 1e-06    lr: 0.01    rho: 0.9    weight_decay: 0),"FCN(  (activation): ReLU(inplace=True)  (main_blocks): Sequential(    (0): Linear(in_features=78400, out_features=256, bias=True)    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=256, out_features=64, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=64, out_features=10, bias=True)  ))",0.03841470927000046,0.7490047812461853
21735114.0,256,MSE ntargets10,Adadelta (Parameter Group 0    eps: 1e-06    lr: 0.01    rho: 0.9    weight_decay: 0),"LCN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d_Local()    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=25600, out_features=64, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=64, out_features=10, bias=True)  ))",0.07541774213314056,0.43511146306991577
1840074.0,256,<function MSE at 0x7f17cdf8b050>,SGD (Parameter Group 0    dampening: 0    lr: 0.001    momentum: 0    nesterov: False    weight_decay: 0),"CNN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d(1, 256, kernel_size=(28, 28), stride=(28, 28))    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=25600, out_features=64, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=64, out_features=10, bias=True)  ))",0.03804115951061249,0.7476114630699158
20087754.0,256,<function MSE at 0x7f17cdf8b050>,SGD (Parameter Group 0    dampening: 0    lr: 0.001    momentum: 0    nesterov: False    weight_decay: 0),"FCN(  (activation): ReLU(inplace=True)  (main_blocks): Sequential(    (0): Linear(in_features=78400, out_features=256, bias=True)    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=256, out_features=64, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=64, out_features=10, bias=True)  ))",0.028013547882437706,0.8200637102127075
21735114.0,256,<function MSE at 0x7f17cdf8b050>,SGD (Parameter Group 0    dampening: 0    lr: 0.001    momentum: 0    nesterov: False    weight_decay: 0),"LCN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d_Local()    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=25600, out_features=64, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=64, out_features=10, bias=True)  ))",0.05775194615125656,0.6050955653190613
2509057.0,256,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","CNN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d(1, 256, kernel_size=(24, 24), stride=(8, 8))    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=2304, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.1231992170214653,0.8509765863418579
7229697.0,2304,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","FCN(  (activation): ReLU(inplace=True)  (main_blocks): Sequential(    (0): Linear(in_features=2112, out_features=2304, bias=True)    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=2304, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.2752424478530884,0.531933605670929
805121.0,256,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","FCN(  (activation): ReLU(inplace=True)  (main_blocks): Sequential(    (0): Linear(in_features=2112, out_features=256, bias=True)    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=256, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.2500014007091522,0.4957031309604645
3690753.0,256,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","LCN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d_Local()    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=2304, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.11022448539733887,0.8700195550918579
411905.0,256,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","CNN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d(1, 256, kernel_size=(24, 24), stride=(8, 8))    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=256, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.10496993362903595,0.869335949420929
411905.0,256,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","CNN(  (activation): ReLU(inplace=True)  (conv_blocks): Sequential(    (0): Conv2d(1, 256, kernel_size=(24, 24), stride=(8, 8))    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=256, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.10542789846658707,0.86865234375
411905.0,256,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","FCN(  (activation): ReLU(inplace=True)  (main_blocks): Sequential(    (0): Linear(in_features=576, out_features=256, bias=True)    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=256, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.1049426719546318,0.8671875
411905.0,256,MSE ntargets1,"Adam (Parameter Group 0    amsgrad: False    betas: (0.9, 0.999)    eps: 1e-08    lr: 0.0002    weight_decay: 0)","FCN(  (activation): ReLU(inplace=True)  (main_blocks): Sequential(    (0): Linear(in_features=576, out_features=256, bias=True)    (1): ReLU(inplace=True)  )  (decoder): Sequential(    (0): Linear(in_features=256, out_features=1024, bias=True)    (1): ReLU(inplace=True)    (2): Linear(in_features=1024, out_features=1, bias=True)  ))",0.10003887861967087,0.876269519329071
